ISO_Code;UN_Reg;UN_SubReg;country_name_not_used;Ctry_Land;IC_T;IC_T_Src;IC_T_Cat;IC_F;IC_F_Src;IC_F_Cat;IC_NF;IC_NF_Src;IC_NF_Cat;IC_Notes;TIME_PERIOD;ATTR_ENDPOINT
CHL;Americas;South America;Chile;74377715.3;No data;;No data;3.1;(RRI, 2015);0.1-5%;No data;;No data;0.06 Mha of Use Concessions are designated for Indigenous peoples and local communities in Chile (0.09% of the country land area). 2.25 Mha (3.03% of Chile land area) are owned by Indigenous peoples and local communities, as Antique Indivisible Gifted Titles for Mapuche Communities, Community Subsidies, Community Land Purchases, Fiscal Transfers, Regulated Community Property, Diaguita Agricultural Community of Huasco Alto, or Agricultural Communities in the Coquimbo Region. <br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf<br><br>The population that self-identifies as belonging to or descending from Chileâ€™s legally-recognized indigenous peoples1 numbers 1Â 369Â 563 individuals, or 8% of the countryâ€™s total population. The national legislation protecting indigenous peoplesâ€™ rights to land, territory, natural resources or participation and political autonomy are not in line with international standards.<br>Source : International Work Group for Indigenous Affairs and Mikkelsen, C., 2015. The Indigenous World, 2015. Copenhagen, Denmark: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0716_THE_INDIGENOUS_ORLD_2015_eb.pdf;2017;
CHN;Asia;Eastern Asia;China;925625000.0;No data;;No data;49.4;(RRI, 2015);40.1-60%;No data;;No data;In China, 465.70 Mha are Collective Ownership with Individual Property Rights to Forestland and the Pasture Contract System. These lands are formally recognized as owned by Indigenous peoples and local communities and cover 49.41% of the  country land area.<br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf<br><br>Among the 55 officially recognized ethnic minority groups living in China having rights protected by the Constitution, it is still unclear which ones can be considered Indigenous peoples. These peoples rarely participated in international meetings related to Indigenous Peoples' issues, and none expressed a self-identification as Indigenous. <br>Source : International Work Group for Indigenous Affairs and Mikkelsen, C., 2015. The Indigenous World, 2015. Copenhagen, Denmark: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0716_THE_INDIGENOUS_ORLD_2015_eb.pdf;2017;
CXR;Asia;South-Eastern Asia;Christmas Island (Australia);14017.5;No data;;No data;;;No data;No data;;No data;;2017;
CL-;Americas;Central America;Clipperton Island (France);1013.83;No data;;No data;;;No data;No data;;No data;;2017;
CCK;Asia;South-Eastern Asia;Cocos Islands (Asutralia);2354.886;No data;;No data;;;No data;No data;;No data;;2017;
COL;Americas;South America;Colombia;112991858.18;No data;;No data;33.9;(RRI, 2015);20.1-40%;No data;;No data;33.87% of Columbia land area is owned by Indigenous peoples and local communities as Afro-Colombian Community Lands and Indigenous Reserves, totaling 37.58 Mha. There are 715 Indigenous Reserves covering an area of 32.18 Mha (29.00% of the country land area), and 181 Afro-Colombian Community Lands covering 5.4 Mha (4.86%  of Colombia total land area).<br>Sources :<br>Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf <br>Instituto de Estudios para el Desarrollo y la Paz, 2014. Punto de Encuentro No. 67 : Derechos Territoriales Ã‰tnicos. Columbia : INDEPAZ. Available at : http://ediciones.indepaz.org.co/wp-content/uploads/2014/10/revista_PE67-Derechos-territoriales-etnicos.pdf;2017;
COM;Africa;Eastern Africa;Comoros;167959.8716;97.3%;(Liz Alden Wily, 2015);80.1-100%;;(Liz Alden Wily, 2015);No data;No data;(Liz Alden Wily, 2015);No data;No data available on total community lands or areas secured under statutory or Islamic title.<br>Most land is family land subject to a mix of Islamic, customary and inherited French colonial law and practices, particular in the use of deeds of transfer (hatwi) issued by Islamic courts to cover conversion of rural land to urban parcels and transfers. Documents reputedly held only by leading families on the islands. By statute, majority land rights are still held to be permissive occupancy and use on unowned public or state lands. <br>No provision for formalization of customary rights.;2017;
COK;Oceania;Polynesia;Cook Islands;26119.8749;0.95;(Fabrice Dubertret, based on AusAID, 2008);80.1-100%;95.0;(Australian Agency for International Development, 2008);80.1-100%;0;(Fabrice Dubertret, based on AusAID, 2008);0;The Crown formally recognizes and protects rights of traditional landowners through legislation. The Cook Islands Act prohibits alienation of customary land, whether to Cook Islanders or others. Customary lands account for 95% of the country land area, the rest is shared between public land (most) and little freehold lands.<br>Source : Australian Agency for International Development, 2008, Making Land Work. Canberra, A.C.T.: AusAID. Available at : http://www2.kobe-u.ac.jp/~alexroni/TR2014%20readings/2014_7/MakingLandWork_VolumeOne_Bookmarked.pdf<br><br>As customary tenure is extensively protected in the constitution or by law, we may consider that all customary lands are formally recognized in the country.;2017;
CRI;Americas;Central America;Costa Rica;5123433.1;No data;;No data;6.4;(RRI, 2015);5.1-20%;No data;;No data;There are 8 Indigenous peoples in Costa Rica, occupying 0.33 Mha (6.44% of the  country land area) divided into 24 different territories formally recognized as owned by Indigenous peoples.<br>Sources :<br>Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf<br>International Work Group for Indigenous Affairs and Mikkelsen, C., 2015. The Indigenous World, 2015. Copenhagen, Denmark: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0716_THE_INDIGENOUS_ORLD_2015_eb.pdf;2017;
HRV;Europe;Southern Europe;Croatia;5662311.5;No data;;No data;7.7;"(Eurostat, 2010; 2013)";5.1-20%;No data;;No data;Use of common land is frequent practice in Croatia, and are mainly grazing lands. Farmers have problem to estimate the share of common land they are actually using, and thus data can are hardly accessible. Combining data from models calculating on the farm level and from administrative sources, Eurostat estimates that common lands in Croatia cover a total of 438 891 hectares (7.75% of the country total land area). As of 2015, only 10 406 hectares of common pastures were registered.<br>Sources : Eurostat, 2010. Farm structure survey - common land. Available at : http://ec.europa.eu/eurostat/statistics-explained/index.php?title=Common_land_statistics_-_background&oldid=262743<br>Eurostat, 2013. Farm structure - Croatia National Methodology report. Available at : http://ec.europa.eu/eurostat/cache/metadata/EN/ef_esqrs_hr.htm<br>Benes, Iris. 2015. Common Grazing in Croatia. . Presentation at the EFNCP, available at : http://www.efncp.org/download/common-ground2015/Commons6Benes.pdf;2017;
CUB;Americas;Caribbean;Cuba;10959132.0;No data;;No data;;;No data;No data;;No data;;2017;
CUW;Americas;Caribbean;CuraÃ§ao (Netherlands);43577.83;No data;;No data;;;No data;No data;;No data;;2017;
CYP;Asia;Western Asia;Cyprus;924857.006;No data;;No data;0.1;(Eurostat, 2010);0.1-5%;No data;;No data;The Eurostats study on common lands in Europe reveals that in 2010, this land tenure officially covers 805 ha of agricultural lands, 53 ha of unutilized area, 4 ha of wooded area, and 27 ha of other lands. Thus, common lands in Cyprus total  889 ha (which represents 0.1% of the land area of the country). <br>Still, it has to be noted that only the common lands for which data were available are covered here. Thus, their actual total area is likely to be higher.<br>Sources : Eurostat, 2010. Farm structure survey - common land. Available at : http://ec.europa.eu/eurostat/statistics-explained/index.php?title=Common_land_statistics_-_background&oldid=262743;2017;
CZE;Europe;Eastern Europe;Czech Republic;7798753.9323;No data;;No data;;;No data;No data;;No data;According to the Eurostat Farm Structure Surveys, common lands does not exist as part of the utilised agricultural area in Czech Republic. However, the provided information is not enough to declare that common lands do not exist at all in the country.<br>Sources : Eurostat, 2013. Farm structure - Czech Republic National Methodology report. Available at : http://ec.europa.eu/eurostat/cache/metadata/EN/ef_esqrs_cz.htm;2017;
COD;Africa;Middle Africa;Democratic Republic of the Congo;229841100.0;86.4%;(Liz Alden Wily, 2015);80.1-100%;0;(Liz Alden Wily, 2015);0;86.4%;(Liz Alden Wily, 2015);80.1-100%;"Estimate of community lands arrived at through exclusion of Terrestrial Protected Areas (TPA), urban lands, est. of titled rural lands, and standard exclusion of 1% country area to cover rural public service areas. To avoid double-counting, the total TPA area is reduced from 10.7% to 7.5% where PA as recorded by WPDA 2013 as Category VI areas in occupied and used lands.<br>1970s land laws still apply and no development of constitutional promises to address customary rights. No legal provision for collective ownership or recognition of community lands despite in principle assurances in constitution and land laws. New era of land reform with establishment of a National Land Reform Commission in 2013 but with no policy document delivered yet. <br>Present status is that even secure occupancy and use (not ownership) may be secured only through issue of titles (""""concessions"""") or through indirectly through designation of areas.  No known cases.<br>New legal provision for communities to acquire forest concessions to 50,000 ha for unfixed term (Decret No. 14/018 du 02 aoÃ»t 2014 fixant les modalities d'attribution des concessions forestiÃ¨res aux communautÃ©s locales) but lacks application decree. Agricultural law of 2011 disallows registration of customary farmlands.<br>Indigenous Peoples are a numerically tiny but major landholding sector by area but no special legal protection.<br>Contested rights among layers of settlers over the last 50-100 years led to local civil war in South Kivu.";2017;
DNK;Europe;Northern Europe;Denmark;4255962.7;No data;;No data;;;No data;No data;;No data;According to the Eurostat Farm Structure Surveys, common lands does not exist as part of the utilised agricultural area in Denmark. However, the provided information is not enough to declare that common lands do not exist in the country.<br>Sources : Eurostat, 2013. Farm structure - Denmark National Methodology report. Available at : http://ec.europa.eu/eurostat/cache/metadata/EN/ef_esqrs_dk.htm;2017;
DJI;Africa;Eastern Africa;Djibouti;2120952.6;No data;(Liz Alden Wily, 2015);No data;;(Liz Alden Wily, 2015);No data;No data;(Liz Alden Wily, 2015);No data;No data.;2017;
DMA;Americas;Caribbean;Dominica;75688.1;No data;;No data;;;No data;No data;;No data;No data could be found in the literature regarding the area of indigenous and community lands in the country.<br>However, Indigenous Peoples are estimated to number 3Â 000 people in Dominica, thus representing 4.05Â % of the country population.<br>Source :<br>International Work Group for Indigenous Affairs and Sille Stidsen, 2007. The Indigenous World 2007. Copenhagen: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0083_NY-THE_INDIGENOUS_ORLD-2007.pdf;2017;
